5916.3753 - 6540.42092105;1116
6540.42092105 - 7164.4665421;865
7164.4665421 - 7788.51216315;511
7788.51216315 - 8412.55778419;271
8412.55778419 - 9036.60340524;125
9036.60340524 - 9660.64902629;59
9660.64902629 - 10284.6946473;33
10284.6946473 - 10908.7402684;11
10908.7402684 - 11532.7858894;8
11532.7858894 - 12156.8315105;0
12156.8315105 - 12780.8771315;1
end
5916.3753 - 6540.42092105;1483
6540.42092105 - 7164.4665421;1136
7164.4665421 - 7788.51216315;685
7788.51216315 - 8412.55778419;367
8412.55778419 - 9036.60340524;170
9036.60340524 - 9660.64902629;89
9660.64902629 - 10284.6946473;43
10284.6946473 - 10908.7402684;14
10908.7402684 - 11532.7858894;10
11532.7858894 - 12156.8315105;2
12156.8315105 - 12780.8771315;1
end
